step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest
16,TRANSFER,157520.4,C2243746457,972596.35,815075.95,M7869871569,12089.95,169610.35
15,TRANSFER,378698.84,C3164928589,860397.53,481698.69,M9604285875,203002.57,581701.41
13,TRANSFER,12566.28,C9066028270,309919.19,297352.91,M3930535548,170455.71,183021.99
25,TRANSFER,386110.67,C3451689782,732449.31,346338.6400000001,M4339265803,0.0,386110.67
19,TRANSFER,34509.69,C7780895931,39491.33,4981.639999999999,M935872212,0.0,34509.69
15,TRANSFER,421372.44,C5576720336,640589.44,219216.99999999994,M2870249290,308718.43,730090.87
22,DEBIT,143359.06,C7273541012,473601.44,330242.38,M3227503428,0.0,0.0
4,TRANSFER,485595.1,C2579134009,659119.06,173523.96000000008,M5119992247,0.0,485595.1
3,PAYMENT,156768.48,C1090815131,904313.96,747545.48,M8155748395,0.0,0.0
13,CASH_OUT,346615.01,C6800052807,947736.31,601121.3,M3158632497,0.0,346615.01
16,CASH_OUT,279915.72,C4511319118,761519.46,481603.74,M3913038536,278635.24,558550.96
20,TRANSFER,215008.18,C9687550031,445802.82,230794.64,M3418650870,0.0,215008.18
21,PAYMENT,163036.91,C3029825524,180531.3,17494.389999999985,M7709691982,0.0,0.0
19,PAYMENT,50279.34,C2792206429,51225.15,945.810000000005,M8615290278,0.0,0.0
7,PAYMENT,274958.56,C6733234500,318545.43,43586.869999999995,M376175777,0.0,0.0
8,DEBIT,91661.64,C4338025498,394512.01,302850.37,M6086551031,0.0,0.0
21,PAYMENT,209813.96,C4862983676,693330.46,483516.5,M3209929058,854312.09,854312.09
2,PAYMENT,1216.13,C9012354449,325194.93,323978.8,M6009051302,0.0,0.0
9,DEBIT,341512.67,C1628340468,616824.63,275311.96,M5321888411,0.0,0.0
29,PAYMENT,180554.32,C4286137671,976878.68,796324.3600000001,M7263446262,0.0,0.0
3,DEBIT,321013.81,C9719467286,702506.49,381492.68,M3598694050,874746.5,874746.5
16,PAYMENT,72418.79,C3574495232,599700.24,527281.45,M4384234019,358444.02,358444.02
24,PAYMENT,310388.33,C5406212416,583826.75,273438.42,M5116310522,747124.99,747124.99
24,DEBIT,218908.52,C2778399444,164019.26,0.0,M4811759827,0.0,0.0
6,PAYMENT,365948.78,C5538774074,561533.14,195584.36,M5194307145,0.0,0.0
27,TRANSFER,58237.43,C4088062968,417163.65,358926.22000000003,M2556850103,857647.75,915885.18
26,TRANSFER,247217.57,C9577793927,449478.13,202260.56,M9452792584,0.0,247217.57
24,DEBIT,353201.16,C2184487121,18566.48,0.0,M1090911731,422816.61,422816.61
24,TRANSFER,242967.85,C4613108958,346835.21,103867.36000000002,M3617970119,0.0,242967.85
30,CASH_OUT,108846.41,C2629073562,89968.94,0.0,M6628378535,0.0,108846.41
15,TRANSFER,383431.24,C9870174148,805555.28,422124.04000000004,M1159830633,854511.12,1237942.3599999999
14,DEBIT,485885.35,C4824304343,807604.05,321718.70000000007,M2535280741,480149.34,480149.34
12,CASH_OUT,443988.66,C5322150382,661231.99,217243.33000000002,M2124748859,0.0,443988.66
17,TRANSFER,296619.39,C4089144937,779728.32,483108.92999999993,M8637424375,0.0,296619.39
2,DEBIT,145696.54,C7447521299,569929.0,424232.45999999996,M5363463024,0.0,0.0
29,PAYMENT,298796.82,C5178770704,136745.94,0.0,M3150513498,0.0,0.0
11,PAYMENT,264379.1,C6716954854,423510.42,159131.32,M9302185092,271279.5,271279.5
17,DEBIT,89203.06,C3310140992,954434.66,865231.6000000001,M5207779181,233134.74,233134.74
28,PAYMENT,240621.65,C7830009441,798489.49,557867.84,M4560223550,924233.24,924233.24
28,PAYMENT,104254.24,C3882513681,953088.82,848834.58,M4857814763,999110.82,999110.82
9,TRANSFER,121187.68,C2329083033,557445.97,436258.29,M101824105,702212.69,823400.3699999999
26,CASH_OUT,351515.08,C5928381641,415507.81,63992.72999999998,M7249554502,315149.92,666665.0
24,PAYMENT,117413.11,C8442170644,953572.02,836158.91,M8961700030,0.0,0.0
12,CASH_OUT,456783.36,C2825435331,375518.94,0.0,M8056324779,0.0,456783.36
24,CASH_OUT,27698.78,C8265810497,306921.38,279222.6,M7363820635,0.0,27698.78
6,TRANSFER,201859.21,C4166184815,833390.77,631531.56,M5751890667,0.0,201859.21
1,CASH_OUT,23398.12,C1395105099,172420.26,149022.14,M8109943023,0.0,23398.12
21,TRANSFER,457035.45,C3157811434,815236.88,358201.43,M2033081716,0.0,457035.45
9,PAYMENT,83009.51,C9500715554,386203.93,303194.42,M2953969340,345974.52,345974.52
20,DEBIT,331732.61,C1195196185,126835.74,0.0,M1967768339,79963.91,79963.91
9,CASH_OUT,368913.98,C5633473244,969637.0,600723.02,M9325108848,612175.45,981089.4299999999
20,PAYMENT,69158.84,C4046363313,484564.02,415405.18000000005,M4766810791,0.0,0.0
22,CASH_OUT,190326.58,C1976057334,750198.99,559872.41,M135173731,0.0,190326.58
13,TRANSFER,417909.71,C6739789126,564581.6,146671.88999999996,M3099626152,914028.8,1331938.51
10,TRANSFER,49769.5,C6198338862,376185.41,326415.91,M4610473516,0.0,49769.5
25,DEBIT,433714.67,C2558778867,896929.0,463214.33,M4726508097,0.0,0.0
13,DEBIT,486436.72,C2761652356,532132.6,45695.880000000005,M4762147191,0.0,0.0
29,PAYMENT,55777.09,C1421205282,151902.93,96125.84,M4240616594,0.0,0.0
15,DEBIT,190442.9,C8664181430,584219.22,393776.31999999995,M5954928365,0.0,0.0
24,TRANSFER,377892.61,C8766207607,775772.47,397879.86,M1016642408,608916.57,986809.1799999999
2,TRANSFER,66291.1,C8449118943,832224.0,765932.9,M6858334384,563447.23,629738.33
26,TRANSFER,334058.94,C2261626640,349661.53,15602.590000000026,M2422897599,0.0,334058.94
3,TRANSFER,245779.67,C2437523063,749183.91,503404.24,M8083751097,0.0,245779.67
14,CASH_OUT,281735.92,C3949930487,536546.42,254810.50000000006,M4284342005,965275.95,1247011.8699999999
4,PAYMENT,399908.07,C5286091314,139237.37,0.0,M403753768,822077.95,822077.95
